sequence_index,dataset_version,candidate_index,cow_id,cow_health_status,video_health_status,health_condition,session_category,dataset_root,relative_path,video_path,sequence_seconds,target_fps,frames_per_sequence,crop_size,start_second,end_second,window_stride_seconds,window_overlap_seconds,source_fps,source_frame_count,source_duration_sec,detected_frames,filled_frames,detection_rate,filled_rate,confidence_threshold,yolo_batch_size,yolo_device,mean_detection_confidence,min_detection_confidence,max_detection_confidence,multi_face_frames,multi_face_rate,crop_area_mean,crop_area_min,crop_area_max,blur_laplacian_var_mean,created_utc,reject_reason
5,thesis_stride8_qa,5,352,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 28\352.mov,10.0,24.0,240,224,32.0,42.0,8.0,2.0,29.99720522932646,1610,53.67166666666667,180,60,0.75,0.25,0.6,32,0,0.7858460287253062,0.6038268804550171,0.9397075772285461,47,0.19583333333333333,987096.7611111111,32922,1884600,1990.7517197967795,2026-05-25T17:31:17Z,low_detection_rate;high_filled_rate;low_mean_confidence
5,thesis_stride8_qa,6,352,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Nov 28\352.mov,10.0,24.0,240,224,40.0,50.0,8.0,2.0,29.99720522932646,1610,53.67166666666667,173,67,0.7208333333333333,0.2791666666666667,0.6,32,0,0.7942620043809703,0.6049385070800781,0.9515588879585266,77,0.32083333333333336,1175168.5606936417,32922,1665990,2290.824960039678,2026-05-25T17:32:03Z,low_detection_rate;high_filled_rate;low_mean_confidence
5,thesis_stride8_qa,7,352,Healthy,Healthy,healthy folder,before_exercise,Truro Cow Video Data,healthy cows before going out/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 28\352.mov,10.0,24.0,240,224,0.0,10.0,8.0,2.0,29.99713585590173,1571,52.37166666666667,204,36,0.85,0.15,0.6,32,0,0.8161706719912735,0.6067439913749695,0.9668601155281067,90,0.375,1148636.200980392,93912,1556889,1726.8450416769915,2026-05-25T17:32:49Z,low_detection_rate;high_filled_rate
5,thesis_stride8_qa,8,352,Healthy,Healthy,healthy folder,before_exercise,Truro Cow Video Data,healthy cows before going out/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 28\352.mov,10.0,24.0,240,224,8.0,18.0,8.0,2.0,29.99713585590173,1571,52.37166666666667,203,37,0.8458333333333333,0.15416666666666667,0.6,32,0,0.817069654981491,0.602291464805603,0.9575209021568298,92,0.38333333333333336,1260590.6896551724,94428,1780920,1909.7350166943124,2026-05-25T17:33:37Z,low_detection_rate;high_filled_rate
5,thesis_stride8_qa,9,352,Healthy,Healthy,healthy folder,before_exercise,Truro Cow Video Data,healthy cows before going out/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 28\352.mov,10.0,24.0,240,224,16.0,26.0,8.0,2.0,29.99713585590173,1571,52.37166666666667,118,122,0.49166666666666664,0.5083333333333333,0.6,32,0,0.7676897483356928,0.6061458587646484,0.9347903728485107,23,0.09583333333333334,1403802.652542373,204670,1756188,2667.1776428599323,2026-05-25T17:34:23Z,low_detection_rate;high_filled_rate;low_mean_confidence
5,thesis_stride8_qa,10,352,Healthy,Healthy,healthy folder,before_exercise,Truro Cow Video Data,healthy cows before going out/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 28\352.mov,10.0,24.0,240,224,24.0,34.0,8.0,2.0,29.99713585590173,1571,52.37166666666667,110,130,0.4583333333333333,0.5416666666666666,0.6,32,0,0.7546781068498438,0.6064406633377075,0.9361117482185364,0,0.0,1336281.4363636363,1045335,1551700,3049.8025624452684,2026-05-25T17:35:14Z,low_detection_rate;high_filled_rate;low_mean_confidence
5,thesis_stride8_qa,11,352,Healthy,Healthy,healthy folder,before_exercise,Truro Cow Video Data,healthy cows before going out/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 28\352.mov,10.0,24.0,240,224,32.0,42.0,8.0,2.0,29.99713585590173,1571,52.37166666666667,136,104,0.5666666666666667,0.43333333333333335,0.6,32,0,0.7657382404979538,0.6027196645736694,0.9346705079078674,1,0.004166666666666667,1257323.3235294118,80535,1635120,2700.412817953367,2026-05-25T17:36:01Z,low_detection_rate;high_filled_rate;low_mean_confidence
5,thesis_stride8_qa,12,352,Healthy,Healthy,healthy folder,before_exercise,Truro Cow Video Data,healthy cows before going out/Nov 28/352.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows before going out\Nov 28\352.mov,10.0,24.0,240,224,40.0,50.0,8.0,2.0,29.99713585590173,1571,52.37166666666667,129,111,0.5375,0.4625,0.6,32,0,0.7725105817003768,0.6027215123176575,0.943844735622406,1,0.004166666666666667,1253739.007751938,89006,1602198,2886.982020514891,2026-05-25T17:36:48Z,low_detection_rate;high_filled_rate;low_mean_confidence
5,thesis_stride8_qa,13,355,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Sep 4/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 4\355.mov,10.0,24.0,240,224,0.0,10.0,8.0,2.0,29.98840867693327,1811,60.39,193,47,0.8041666666666667,0.19583333333333333,0.6,32,0,0.7894734385100053,0.6014957427978516,0.939775288105011,38,0.15833333333333333,909969.1865284974,387323,1520640,2087.212591943606,2026-05-25T17:37:34Z,low_detection_rate;high_filled_rate;low_mean_confidence
5,thesis_stride8_qa,14,355,Healthy,Healthy,healthy folder,after_exercise,Truro Cow Video Data,healthy cows after exercise/Sep 4/355.mov,C:\Users\shivp\Downloads\Research\DATASET\Truro Cow Video Data\healthy cows after exercise\Sep 4\355.mov,10.0,24.0,240,224,8.0,18.0,8.0,2.0,29.98840867693327,1811,60.39,206,34,0.8583333333333333,0.14166666666666666,0.6,32,0,0.8051478900377033,0.6050950884819031,0.9380018711090088,38,0.15833333333333333,915350.213592233,360360,1548720,1769.3993437913457,2026-05-25T17:38:22Z,low_detection_rate;high_filled_rate
