fold,epoch,train_loss,val_loss,task1_acc,task1_f1_fixed,task1_thr_opt,task1_f1_opt,task1_f1_sel,task2_acc,task2_f1_weighted,task2_f1_macro,task2_precision_weighted,task2_recall_weighted,task2_pred_count_c0,task2_pred_frac_c0,task2_true_count_c0,task2_true_frac_c0,task2_pred_count_c1,task2_pred_frac_c1,task2_true_count_c1,task2_true_frac_c1,task2_pred_count_c2,task2_pred_frac_c2,task2_true_count_c2,task2_true_frac_c2,task2_recall_c0,task2_recall_c1,task2_recall_c2,task2_n_val,task2_dummy_count,task2_dummy_frac,task2_decode_errors,task2_avg_available_frames,combined_metric,lr,val_used_ema
6,1,3.2660637961493597,3.5137336254119873,0.5416666666666666,0.7027027027027027,0.05,0.7027027027027027,0.7027027027027027,0.3958333333333333,0.2638888888888889,0.19191919191919193,0.19791666666666666,0.3958333333333333,44.0,0.9166666666666666,22.0,0.4583333333333333,4.0,0.08333333333333333,11.0,0.22916666666666666,0.0,0.0,15.0,0.3125,0.8636363636363636,0.0,0.0,48.0,0.0,0.0,0.0,234.33333333333334,0.48329579579579585,5e-05,0.0
6,2,3.165983107354906,3.2338945865631104,0.5416666666666666,0.7027027027027027,0.05,0.7027027027027027,0.7027027027027027,0.22916666666666666,0.08545197740112993,0.12429378531073447,0.052517361111111105,0.22916666666666666,0.0,0.0,22.0,0.4583333333333333,48.0,1.0,11.0,0.22916666666666666,0.0,0.0,15.0,0.3125,0.0,1.0,0.0,48.0,0.0,0.0,0.0,234.33333333333334,0.39407734005191636,0.0001,0.0
6,3,3.1277593506707086,3.0362630685170493,0.5416666666666666,0.7027027027027027,0.6,0.8,0.7027027027027027,0.22916666666666666,0.14078947368421055,0.17926634768740032,0.203125,0.22916666666666666,0.0,0.0,22.0,0.4583333333333333,44.0,0.9166666666666666,11.0,0.22916666666666666,4.0,0.08333333333333333,15.0,0.3125,0.0,0.8181818181818182,0.13333333333333333,48.0,0.0,0.0,0.0,234.33333333333334,0.42174608819345666,0.0001,0.0
6,4,2.78001242213779,2.8571621576944985,0.5416666666666666,0.7027027027027027,0.65,0.75,0.7027027027027027,0.22916666666666666,0.08545197740112993,0.12429378531073447,0.052517361111111105,0.22916666666666666,0.0,0.0,22.0,0.4583333333333333,48.0,1.0,11.0,0.22916666666666666,0.0,0.0,15.0,0.3125,0.0,1.0,0.0,48.0,0.0,0.0,0.0,234.33333333333334,0.39407734005191636,0.0001,0.0
6,5,2.8745133611891003,2.71856156984965,0.5416666666666666,0.7027027027027027,0.6,0.7868852459016393,0.7027027027027027,0.22916666666666666,0.08545197740112993,0.12429378531073447,0.052517361111111105,0.22916666666666666,0.0,0.0,22.0,0.4583333333333333,48.0,1.0,11.0,0.22916666666666666,0.0,0.0,15.0,0.3125,0.0,1.0,0.0,48.0,0.0,0.0,0.0,234.33333333333334,0.39407734005191636,0.0001,0.0
6,6,2.608424875471327,2.644727945327759,0.625,0.7428571428571429,0.65,0.8148148148148148,0.7428571428571429,0.3125,0.23269230769230773,0.23589743589743592,0.515625,0.3125,4.0,0.08333333333333333,22.0,0.4583333333333333,44.0,0.9166666666666666,11.0,0.22916666666666666,0.0,0.0,15.0,0.3125,0.18181818181818182,1.0,0.0,48.0,0.0,0.0,0.0,234.33333333333334,0.4877747252747253,0.0001,0.0
6,7,2.684213731024,2.7164828777313232,0.75,0.7931034482758621,0.75,0.8181818181818182,0.7931034482758621,0.4375,0.47096459787461487,0.4501456748202645,0.6406249999999999,0.4375,9.0,0.1875,22.0,0.4583333333333333,27.0,0.5625,11.0,0.22916666666666666,12.0,0.25,15.0,0.3125,0.36363636363636365,0.5454545454545454,0.4666666666666667,48.0,0.0,0.0,0.0,234.33333333333334,0.6320340230752385,0.0001,0.0
6,8,2.5692036284340753,2.768286943435669,0.625,0.7428571428571429,0.7999999999999999,0.8181818181818182,0.7428571428571429,0.2916666666666667,0.20002976190476188,0.21095238095238092,0.5143518518518518,0.2916666666666667,3.0,0.0625,22.0,0.4583333333333333,45.0,0.9375,11.0,0.22916666666666666,0.0,0.0,15.0,0.3125,0.13636363636363635,1.0,0.0,48.0,0.0,0.0,0.0,234.33333333333334,0.47144345238095237,0.0001,0.0
6,9,2.686467925707499,2.532371679941813,0.75,0.7692307692307693,0.7999999999999999,0.7906976744186046,0.7692307692307693,0.5625,0.4784798534798534,0.442002442002442,0.45669642857142856,0.5625,20.0,0.4166666666666667,22.0,0.4583333333333333,28.0,0.5833333333333334,11.0,0.22916666666666666,0.0,0.0,15.0,0.3125,0.7272727272727273,1.0,0.0,48.0,0.0,0.0,0.0,234.33333333333334,0.6238553113553114,0.0001,0.0
6,10,2.5529398123423257,2.6105125745137534,0.75,0.7692307692307693,0.7999999999999999,0.8181818181818182,0.7692307692307693,0.5208333333333334,0.44380081300813007,0.4121951219512195,0.44050925925925927,0.5208333333333334,18.0,0.375,22.0,0.4583333333333333,30.0,0.625,11.0,0.22916666666666666,0.0,0.0,15.0,0.3125,0.6363636363636364,1.0,0.0,48.0,0.0,0.0,0.0,234.33333333333334,0.6065157911194496,0.0001,0.0
6,11,2.673086557123396,2.5732264518737793,0.7708333333333334,0.8,0.5499999999999999,0.8301886792452831,0.8,0.5833333333333334,0.6049152093269741,0.5777636459989401,0.6956823671497584,0.5833333333333334,15.0,0.3125,22.0,0.4583333333333333,23.0,0.4791666666666667,11.0,0.22916666666666666,10.0,0.20833333333333334,15.0,0.3125,0.5909090909090909,0.7272727272727273,0.4666666666666667,48.0,0.0,0.0,0.0,234.33333333333334,0.7024576046634871,0.0001,0.0
6,12,2.6268464591768055,2.852209488550822,0.625,0.7428571428571429,0.7999999999999999,0.84,0.7428571428571429,0.3333333333333333,0.3222584541062801,0.3360386473429951,0.7031953828828829,0.3333333333333333,3.0,0.0625,22.0,0.4583333333333333,37.0,0.7708333333333334,11.0,0.22916666666666666,8.0,0.16666666666666666,15.0,0.3125,0.13636363636363635,0.7272727272727273,0.3333333333333333,48.0,0.0,0.0,0.0,234.33333333333334,0.5325577984817115,0.0001,0.0
6,13,2.6189094252056546,2.4446659882863364,0.8125,0.8363636363636363,0.6,0.8461538461538461,0.8363636363636363,0.4375,0.39633200354609927,0.3795132172791747,0.7575231481481483,0.4375,11.0,0.22916666666666666,22.0,0.4583333333333333,36.0,0.75,11.0,0.22916666666666666,1.0,0.020833333333333332,15.0,0.3125,0.4090909090909091,1.0,0.06666666666666667,48.0,0.0,0.0,0.0,234.33333333333334,0.6163478199548678,0.0001,0.0
6,14,2.403382500012716,2.432971636454264,0.7916666666666666,0.8148148148148148,0.44999999999999996,0.8148148148148148,0.8148148148148148,0.6458333333333334,0.6506431308155446,0.6245429666119321,0.6872685185185187,0.6458333333333334,20.0,0.4166666666666667,22.0,0.4583333333333333,18.0,0.375,11.0,0.22916666666666666,10.0,0.20833333333333334,15.0,0.3125,0.7272727272727273,0.7272727272727273,0.4666666666666667,48.0,0.0,0.0,0.0,234.33333333333334,0.7327289728151797,0.0001,0.0
6,15,2.3553353945414224,2.5389296213785806,0.8125,0.8085106382978723,0.75,0.8181818181818182,0.8085106382978723,0.6458333333333334,0.6506431308155446,0.6245429666119321,0.6872685185185187,0.6458333333333334,20.0,0.4166666666666667,22.0,0.4583333333333333,18.0,0.375,11.0,0.22916666666666666,10.0,0.20833333333333334,15.0,0.3125,0.7272727272727273,0.7272727272727273,0.4666666666666667,48.0,0.0,0.0,0.0,234.33333333333334,0.7295768845567084,0.0001,0.0
